umbral,precision,recall
5.159878034435785e-05,0.3487529868578256,1.0
5.666141714138146e-05,0.3487660082888399,1.0
5.7002734492809266e-05,0.348779030692256,1.0
5.7793317201251295e-05,0.34879205406818264,1.0
5.9334107081061837e-05,0.3488050784167289,1.0
5.9720036327959274e-05,0.34881810373800365,1.0
5.9815127567271656e-05,0.3488311300321159,1.0
6.124507988395092e-05,0.3488441572991747,1.0
6.262945911159465e-05,0.3488571855392889,1.0
6.298469551994313e-05,0.3488702147525677,1.0
6.361601847136315e-05,0.34888324493912004,1.0
6.380416283980421e-05,0.348896276099055,1.0
6.813133616993963e-05,0.3489093082324817,1.0
7.100481776984198e-05,0.34892234133950917,1.0
7.221829069775869e-05,0.34893537542024655,1.0
7.329311709197807e-05,0.34894841047480296,1.0
7.422453681838622e-05,0.34896144650328753,1.0
7.814882069437282e-05,0.3489744835058094,1.0
7.824185713679025e-05,0.34898752148247775,1.0
7.825555546967934e-05,0.34900056043340183,1.0
8.137455916037514e-05,0.3490136003586908,1.0
8.173823889443294e-05,0.34902664125845384,1.0
8.288456129725664e-05,0.34903968313280026,1.0
8.362572168711994e-05,0.34905272598183923,1.0
8.37530009036007e-05,0.3490657698056801,1.0
8.42625990434786e-05,0.34907881460443213,1.0
8.439223584092983e-05,0.34909186037820467,1.0
8.498382567771562e-05,0.3491049071271069,1.0
8.501178750664341e-05,0.3491179548512483,1.0
8.572544657771629e-05,0.3491310035507382,1.0
8.58436253052502e-05,0.34914405322568587,1.0
8.810954468886067e-05,0.3491571038762008,1.0
8.866022814147233e-05,0.34917015550239233,1.0
8.93918178792162e-05,0.3491832081043699,1.0
9.006517468150868e-05,0.349196261682243,1.0
9.081470611598949e-05,0.349209316236121,1.0
9.084930379406877e-05,0.34922237176611337,1.0
9.152048636783498e-05,0.3492354282723296,1.0
9.158479777064293e-05,0.3492484857548792,1.0
9.294799040875164e-05,0.34926154421387173,1.0
9.335629721958598e-05,0.3492746036494167,1.0
9.367988740202653e-05,0.3492876640616236,1.0
9.390387038378096e-05,0.34930072545060203,1.0
9.448713691486248e-05,0.3493137878164616,1.0
9.476028977767735e-05,0.3493268511593119,1.0
9.504521779322532e-05,0.3493399154792625,1.0
9.577409926996744e-05,0.34935298077642307,1.0
9.598278866323483e-05,0.34936604705090324,1.0
9.602735057889359e-05,0.3493791143028127,1.0
9.685216472443348e-05,0.34939218253226106,1.0
9.711740480654706e-05,0.3494052517393581,1.0
9.72739545041143e-05,0.3494183219242135,1.0
9.752403058957357e-05,0.349431393086937,1.0
9.774879508347443e-05,0.34944446522763833,1.0
